 ./CARDS/YoungORCA_Vs_Vp_Rho_lsqr_kernel_bs1000_smLVZdQdz_disc                    ref per =  -1.0 secs


  level    radius        rho         vpv         vph         vsv         vsh         eta         qmu         qkap
   178   3480000.0     5566.46    13698.92    13698.92     7239.80     7239.80     1.00000      231.00    15210.00
   179   3485000.0     5563.95    13697.69    13697.69     7239.85     7239.85     1.00000      231.00    15210.00
   180   3490000.0     5561.44    13696.46    13696.46     7239.91     7239.91     1.00000      231.00    15210.00
   181   3495000.0     5558.93    13695.23    13695.23     7239.96     7239.96     1.00000      231.00    15210.00
   182   3500000.0     5556.43    13694.00    13694.00     7240.01     7240.01     1.00000      231.00    15210.00
   183   3505000.0     5553.93    13692.78    13692.78     7240.06     7240.06     1.00000      231.00    15210.00
   184   3510000.0     5551.42    13691.56    13691.56     7240.11     7240.11     1.00000      231.00    15210.00
   185   3515000.0     5548.92    13690.34    13690.34     7240.15     7240.15     1.00000      231.00    15210.00
   186   3520000.0     5546.42    13689.12    13689.12     7240.20     7240.20     1.00000      231.00    15210.00
   187   3525000.0     5543.92    13687.90    13687.90     7240.25     7240.25     1.00000      231.00    15210.00
   188   3530000.0     5541.42    13686.68    13686.68     7240.30     7240.30     1.00000      231.00    15210.00
   189   3535000.0     5538.91    13685.47    13685.47     7240.35     7240.35     1.00000      231.00    15210.00
   190   3540000.0     5536.41    13684.26    13684.26     7240.39     7240.39     1.00000      231.00    15210.00
   191   3545000.0     5533.91    13683.05    13683.05     7240.43     7240.43     1.00000      231.00    15210.00
   192   3550000.0     5531.41    13681.84    13681.84     7240.48     7240.48     1.00000      231.00    15210.00
   193   3555000.0     5528.91    13680.63    13680.63     7240.52     7240.52     1.00000      231.00    15210.00
   194   3560000.0     5526.42    13679.42    13679.42     7240.57     7240.57     1.00000      231.00    15210.00
   195   3565000.0     5523.92    13678.22    13678.22     7240.61     7240.61     1.00000      231.00    15210.00
   196   3570000.0     5521.42    13677.01    13677.01     7240.65     7240.65     1.00000      231.00    15210.00
   197   3575000.0     5518.93    13675.81    13675.81     7240.69     7240.69     1.00000      231.00    15210.00
   198   3580000.0     5516.43    13674.61    13674.61     7240.74     7240.74     1.00000      231.00    15210.00
   199   3585000.0     5513.93    13673.41    13673.41     7240.78     7240.78     1.00000      231.00    15210.00
   200   3590000.0     5511.43    13672.21    13672.21     7240.82     7240.82     1.00000      231.00    15210.00
   201   3595000.0     5508.93    13671.01    13671.01     7240.86     7240.86     1.00000      231.00    15210.00
   202   3600000.0     5506.44    13669.82    13669.82     7240.90     7240.90     1.00000      231.00    15210.00
   203   3605000.0     5503.94    13668.63    13668.63     7240.93     7240.93     1.00000      231.00    15210.00
   204   3610000.0     5501.45    13667.44    13667.44     7240.97     7240.97     1.00000      231.00    15210.00
   205   3615000.0     5498.95    13666.25    13666.25     7241.01     7241.01     1.00000      231.00    15210.00
   206   3620000.0     5496.46    13665.06    13665.06     7241.05     7241.05     1.00000      231.00    15210.00
   207   3625000.0     5493.97    13663.88    13663.88     7241.09     7241.09     1.00000      231.00    15210.00
   208   3630000.0     5491.48    13662.69    13662.69     7241.12     7241.12     1.00000      231.00    15210.00
   209   3630000.0     5491.48    13662.67    13662.67     7241.07     7241.07     1.00000      231.00    15210.00
   210   3635000.0     5488.98    13656.60    13656.60     7238.78     7238.78     1.00000      231.00    15210.00
   211   3640000.0     5486.49    13650.53    13650.53     7236.50     7236.50     1.00000      231.00    15210.00
   212   3645000.0     5484.00    13644.48    13644.48     7234.22     7234.22     1.00000      231.00    15210.00
   213   3650000.0     5481.51    13638.42    13638.42     7231.94     7231.94     1.00000      231.00    15210.00
   214   3655000.0     5479.02    13632.38    13632.38     7229.66     7229.66     1.00000      231.00    15210.00
   215   3660000.0     5476.52    13626.34    13626.34     7227.39     7227.39     1.00000      231.00    15210.00
   216   3665000.0     5474.03    13620.31    13620.31     7225.11     7225.11     1.00000      231.00    15210.00
   217   3670000.0     5471.54    13614.28    13614.28     7222.84     7222.84     1.00000      231.00    15210.00
   218   3675000.0     5469.05    13608.27    13608.27     7220.57     7220.57     1.00000      231.00    15210.00
   219   3680000.0     5466.56    13602.26    13602.26     7218.30     7218.30     1.00000      231.00    15210.00
   220   3685000.0     5464.07    13596.26    13596.26     7216.03     7216.03     1.00000      231.00    15210.00
   221   3690000.0     5461.58    13590.25    13590.25     7213.77     7213.77     1.00000      231.00    15210.00
   222   3695000.0     5459.09    13584.26    13584.26     7211.51     7211.51     1.00000      231.00    15210.00
   223   3700000.0     5456.60    13578.28    13578.28     7209.24     7209.24     1.00000      231.00    15210.00
   224   3705000.0     5454.11    13572.31    13572.31     7206.98     7206.98     1.00000      231.00    15210.00
   225   3710000.0     5451.62    13566.33    13566.33     7204.72     7204.72     1.00000      231.00    15210.00
   226   3715000.0     5449.13    13560.36    13560.36     7202.46     7202.46     1.00000      231.00    15210.00
   227   3720000.0     5446.64    13554.40    13554.40     7200.20     7200.20     1.00000      231.00    15210.00
   228   3725000.0     5444.16    13548.45    13548.45     7197.94     7197.94     1.00000      231.00    15210.00
   229   3730000.0     5441.67    13542.50    13542.50     7195.69     7195.69     1.00000      231.00    15210.00
   230   3735000.0     5439.18    13536.56    13536.56     7193.44     7193.44     1.00000      231.00    15210.00
   231   3740000.0     5436.69    13530.62    13530.62     7191.19     7191.19     1.00000      231.00    15210.00
   232   3745000.0     5434.20    13524.69    13524.69     7188.94     7188.94     1.00000      231.00    15210.00
   233   3750000.0     5431.71    13518.76    13518.76     7186.69     7186.69     1.00000      231.00    15210.00
   234   3755000.0     5429.23    13512.85    13512.85     7184.44     7184.44     1.00000      231.00    15210.00
   235   3760000.0     5426.74    13506.93    13506.93     7182.20     7182.20     1.00000      231.00    15210.00
   236   3765000.0     5424.25    13501.02    13501.02     7179.95     7179.95     1.00000      231.00    15210.00
   237   3770000.0     5421.76    13495.11    13495.11     7177.71     7177.71     1.00000      231.00    15210.00
   238   3775000.0     5419.27    13489.22    13489.22     7175.47     7175.47     1.00000      231.00    15210.00
   239   3780000.0     5416.79    13483.32    13483.32     7173.23     7173.23     1.00000      231.00    15210.00
   240   3785000.0     5414.30    13477.43    13477.43     7170.99     7170.99     1.00000      231.00    15210.00
   241   3790000.0     5411.81    13471.55    13471.55     7168.75     7168.75     1.00000      231.00    15210.00
   242   3795000.0     5409.33    13465.67    13465.67     7166.51     7166.51     1.00000      231.00    15210.00
   243   3800000.0     5406.84    13459.79    13459.79     7164.28     7164.28     1.00000      231.00    15210.00
   244   3805000.0     5404.35    13453.92    13453.92     7162.05     7162.05     1.00000      231.00    15210.00
   245   3810000.0     5401.86    13448.06    13448.06     7159.81     7159.81     1.00000      231.00    15210.00
